title,date,subject,gilligan_related,url,author,section,subject_type,notes
The Morning Watch: VFX Artist React To More,2020-01-08T13:00:46+00:00,,review,https://www.slashfilm.com/571488/the-morning-watch-vfx-artist-react-to-more-lord-of-the-rings-visual-effects-breaking-down-military-scenes-more/,,,,Automated collection; review subject and Gilligan flag manually.
VOTD: The Honest Trailer For Every Quentin Tarantino Movie - SlashFilm,2020-01-08T14:00:06+00:00,,review,https://www.slashfilm.com/571491/honest-trailer-for-every-single-quentin-tarantino-movie/,,,,Automated collection; review subject and Gilligan flag manually.
Ethan Anderton,2020-01-08T15:00:41+00:00,,review,https://www.slashfilm.com/571492/ethan-andertons-top-10-best-movies-of-2019/,,,,Automated collection; review subject and Gilligan flag manually.
,2020-01-08T15:02:50+00:00,,review,https://www.slashfilm.com/571485/locke-and-key-trailer-netflixs-adaptation-of-the-horror-comic-is-almost-here/,,,,Automated collection; review subject and Gilligan flag manually.
Exclusive: Fox Still Interested In More,2020-01-08T15:30:08+00:00,,review,https://www.slashfilm.com/571499/24-reboot-2/,,,,Automated collection; review subject and Gilligan flag manually.
,2020-01-08T16:00:24+00:00,,review,https://www.slashfilm.com/571497/brahms-the-boy-ii-trailer/,,,,Automated collection; review subject and Gilligan flag manually.
,2020-01-08T16:30:09+00:00,,review,https://www.slashfilm.com/571498/bright-2-update/,,,,Automated collection; review subject and Gilligan flag manually.
Why The Wildly Different Women Of,2020-01-08T17:00:25+00:00,,review,https://www.slashfilm.com/571493/little-women-personality-types/,,,,Automated collection; review subject and Gilligan flag manually.
,2020-01-08T17:30:09+00:00,,review,https://www.slashfilm.com/571505/ozark-season-3-teaser-release-date-images/,,,,Automated collection; review subject and Gilligan flag manually.
,2020-01-08T18:00:18+00:00,,review,https://www.slashfilm.com/571475/star-wars-identities-exhibition/,,,,Automated collection; review subject and Gilligan flag manually.
Billie Lourd Played Leia In,2020-01-08T18:30:48+00:00,,review,https://www.slashfilm.com/571496/star-wars-the-rise-of-skywalker-flashback-billie-lourd/,,,,Automated collection; review subject and Gilligan flag manually.
,2020-01-08T19:00:10+00:00,,review,https://www.slashfilm.com/571500/lakeith-stanfield-interview-uncut-gems/,,,,Automated collection; review subject and Gilligan flag manually.
,2020-01-08T19:30:28+00:00,,review,https://www.slashfilm.com/571501/first-cow-trailer/,,,,Automated collection; review subject and Gilligan flag manually.
New On Blu-Ray:,2020-01-08T20:00:22+00:00,,review,https://www.slashfilm.com/571449/new-blu-ray-releases-joker/,,,,Automated collection; review subject and Gilligan flag manually.
